benchmark,run_id,status,iterations,time_seconds,vacuous,error_message
counter,1,FAIL,10,50.1,YES,
counter,2,FAIL,10,51.16,YES,
counter,3,FAIL,10,45.81,YES,
counter,4,FAIL,10,42.87,YES,
counter,5,FAIL,10,49.14,YES,
alu,1,PASS,2,19.89,NO,
alu,2,PASS,2,17.25,NO,
alu,3,PASS,2,17.99,NO,
alu,4,PASS,2,15.07,NO,
alu,5,PASS,2,12.11,NO,
arbiter,1,FAIL,10,85.27,NO,
arbiter,2,FAIL,10,88.79,NO,
arbiter,3,FAIL,10,88.63,NO,
arbiter,4,FAIL,10,82.28,NO,
arbiter,5,FAIL,10,88.28,NO,
axi_lite_slave,1,FAIL,10,102.74,NO,
axi_lite_slave,2,FAIL,10,115.52,NO,
axi_lite_slave,3,FAIL,10,133.21,NO,
axi_lite_slave,4,FAIL,10,125.92,NO,
axi_lite_slave,5,FAIL,10,158.3,NO,
uart_tx,1,FAIL,10,140.02,NO,
uart_tx,2,FAIL,10,132.13,NO,
uart_tx,3,FAIL,10,142.41,NO,
uart_tx,4,FAIL,10,112.27,NO,
uart_tx,5,FAIL,10,99.44,NO,
fifo,1,FAIL,10,112.63,NO,
fifo,2,FAIL,10,107.1,NO,
fifo,3,FAIL,10,106.25,NO,
fifo,4,CRASH,0,84.86,NO,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/doc"
fifo,5,CRASH,0,1.61,NO,"Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/doc"
